robot_type,team,damage,speed,kills,damage_to_enemies,damage_to_base
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,red,25,3,0,0.0,0.0
