robot_type,team,damage,speed,kills,damage_to_enemies,damage_to_base
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
MeleeRobot,blue,20,5,0,0.0,0.0
RangedRobot,blue,15,4,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
TankRobot,blue,25,3,0,0.0,0.0
